category,pathway,p_value
num_types_fruit_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..unclassified,0.0360316862182336
num_types_fruit_Cat,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,0.0224942712224497
num_types_fruit_Cat,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,0.0142661867014469
num_types_fruit_Cat,VALSYN.PWY..L.valine.biosynthesis,0.0010970505857231
num_types_veg_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.00385729282994253
num_types_veg_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00252617426850217
num_types_veg_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..unclassified,0.0360316862182336
num_types_veg_Cat,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.0360316862182336
num_types_veg_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.0224942712224497
num_types_veg_Cat,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,0.0224942712224497
num_types_veg_Cat,PWY.5686..UMP.biosynthesis.I,0.0142661867014469
num_types_veg_Cat,PWY.5941..glycogen.degradation.II,0.0360316862182336
num_types_veg_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.0142661867014469
num_types_veg_Cat,PWY.6151..S.adenosyl.L.methionine.salvage.I,0.0224942712224497
num_types_veg_Cat,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,0.0224942712224497
num_types_veg_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.0142661867014469
num_types_veg_Cat,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,0.0360316862182336
num_types_veg_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.00592153702414871
num_types_veg_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.0142661867014469
num_types_veg_Cat,PWY.7238..sucrose.biosynthesis.II,0.0142661867014469
num_types_veg_Cat,PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.,0.0360316862182336
num_types_veg_Cat,PWY.7790..UMP.biosynthesis.II,0.0224942712224497
num_types_veg_Cat,PWY.7791..UMP.biosynthesis.III,0.0360316862182336
num_types_veg_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,0.0142661867014469
num_types_veg_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..unclassified,0.0360316862182336
num_types_veg_Cat,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,0.0224942712224497
num_types_veg_Cat,VALSYN.PWY..L.valine.biosynthesis,0.000726513880057952
seafood_per_week_Cat,COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,0.0360316862182336
seafood_per_week_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.00385729282994253
seafood_per_week_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00252617426850217
seafood_per_week_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..unclassified,0.0224942712224497
seafood_per_week_Cat,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.0224942712224497
seafood_per_week_Cat,NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,0.0360316862182336
seafood_per_week_Cat,PWY.1042..glycolysis.IV,0.0360316862182336
seafood_per_week_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.0142661867014469
seafood_per_week_Cat,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,0.0360316862182336
seafood_per_week_Cat,PWY.5686..UMP.biosynthesis.I,0.0142661867014469
seafood_per_week_Cat,PWY.5941..glycogen.degradation.II,0.0224942712224497
seafood_per_week_Cat,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.0142661867014469
seafood_per_week_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.00915168885265007
seafood_per_week_Cat,PWY.6151..S.adenosyl.L.methionine.salvage.I,0.0142661867014469
seafood_per_week_Cat,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,0.0360316862182336
seafood_per_week_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.00915168885265007
seafood_per_week_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.00592153702414871
seafood_per_week_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.00592153702414871
seafood_per_week_Cat,PWY.7238..sucrose.biosynthesis.II,0.00592153702414871
seafood_per_week_Cat,PWY.7790..UMP.biosynthesis.II,0.0142661867014469
seafood_per_week_Cat,PWY.7791..UMP.biosynthesis.III,0.0224942712224497
seafood_per_week_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,0.0142661867014469
seafood_per_week_Cat,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,0.0142661867014469
seafood_per_week_Cat,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,0.0360316862182336
seafood_per_week_Cat,VALSYN.PWY..L.valine.biosynthesis,0.000482402936961704
serv_whole_grains_fruits_veg_Cat,COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.00385729282994253
serv_whole_grains_fruits_veg_Cat,GLUTORN.PWY..L.ornithine.biosynthesis.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00166169445798351
serv_whole_grains_fruits_veg_Cat,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.5686..UMP.biosynthesis.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.00915168885265007
serv_whole_grains_fruits_veg_Cat,PWY.6151..S.adenosyl.L.methionine.salvage.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.00915168885265007
serv_whole_grains_fruits_veg_Cat,PWY.6609..adenine.and.adenosine.salvage.III,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.00915168885265007
serv_whole_grains_fruits_veg_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.00592153702414871
serv_whole_grains_fruits_veg_Cat,PWY.7238..sucrose.biosynthesis.II,0.0142661867014469
serv_whole_grains_fruits_veg_Cat,PWY.7790..UMP.biosynthesis.II,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY.7791..UMP.biosynthesis.III,0.0360316862182336
serv_whole_grains_fruits_veg_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,0.0224942712224497
serv_whole_grains_fruits_veg_Cat,VALSYN.PWY..L.valine.biosynthesis,0.000321048400688444
serve_dairy_Cat,ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,0.0224942712224497
serve_dairy_Cat,COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,0.0360316862182336
serve_dairy_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.00252617426850217
serve_dairy_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00252617426850217
serve_dairy_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..unclassified,0.0360316862182336
serve_dairy_Cat,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.0224942712224497
serve_dairy_Cat,NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,0.00915168885265007
serve_dairy_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.0142661867014469
serve_dairy_Cat,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,0.0142661867014469
serve_dairy_Cat,PWY.5686..UMP.biosynthesis.I,0.0224942712224497
serve_dairy_Cat,PWY.5941..glycogen.degradation.II,0.0224942712224497
serve_dairy_Cat,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.0360316862182336
serve_dairy_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.00915168885265007
serve_dairy_Cat,PWY.6151..S.adenosyl.L.methionine.salvage.I,0.0224942712224497
serve_dairy_Cat,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,0.0224942712224497
serve_dairy_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.00915168885265007
serve_dairy_Cat,PWY.6609..adenine.and.adenosine.salvage.III,0.00915168885265007
serve_dairy_Cat,PWY.6700..queuosine.biosynthesis.I..de.novo.,0.0360316862182336
serve_dairy_Cat,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,0.0360316862182336
serve_dairy_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.0142661867014469
serve_dairy_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.0224942712224497
serve_dairy_Cat,PWY.7238..sucrose.biosynthesis.II,0.00385729282994253
serve_dairy_Cat,PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.,0.0360316862182336
serve_dairy_Cat,PWY.7790..UMP.biosynthesis.II,0.0360316862182336
serve_dairy_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,0.0224942712224497
serve_dairy_Cat,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,0.0224942712224497
serve_dairy_Cat,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,0.0142661867014469
serve_dairy_Cat,VALSYN.PWY..L.valine.biosynthesis,0.000321048400688444
serve_fermented_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.0142661867014469
serve_fermented_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00915168885265007
serve_fermented_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.0360316862182336
serve_fermented_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.0360316862182336
serve_fermented_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.0360316862182336
serve_fermented_Cat,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,0.0360316862182336
serve_fermented_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.0142661867014469
serve_fermented_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.0360316862182336
serve_fermented_Cat,PWY.7238..sucrose.biosynthesis.II,0.0224942712224497
serve_fermented_Cat,VALSYN.PWY..L.valine.biosynthesis,0.00385729282994253
